trade_id,trade_candidate_id,symbol,strategy,direction,open_time,close_time,volume,open_price,close_price,net_pnl,commission,swap
trend-ea-v1-GBPJPY_HIST-1542978000:62,trend-ea-v1-GBPJPY_HIST-1542978000,GBPJPY_HIST,BREAKOUT,SELL,2018-11-23 14:00:00+00:00,2018-11-26 03:56:22+00:00,0.13,144.719,144.989,-3864.0,0.0,-354.0
trend-ea-v1-GBPJPY_HIST-1543485600:64,trend-ea-v1-GBPJPY_HIST-1543485600,GBPJPY_HIST,BREAKOUT,SELL,2018-11-29 11:00:00+00:00,2018-11-29 18:21:14+00:00,0.16,144.975,144.976,-16.0,0.0,0.0
trend-ea-v1-GBPJPY_HIST-1545328800:66,trend-ea-v1-GBPJPY_HIST-1545328800,GBPJPY_HIST,BREAKOUT,SELL,2018-12-20 19:00:00+00:00,2018-12-21 15:00:00+00:00,0.08,140.855,140.779,390.0,0.0,-218.0
trend-ea-v1-GBPJPY_HIST-1548032400:2,trend-ea-v1-GBPJPY_HIST-1548032400,GBPJPY_HIST,BREAKOUT,SELL,2019-01-21 02:00:00+00:00,2019-01-21 18:00:04+00:00,0.08,140.955,141.379,-3392.0,0.0,0.0
trend-ea-v1-GBPJPY_HIST-1551139200:4,trend-ea-v1-GBPJPY_HIST-1551139200,GBPJPY_HIST,BREAKOUT,BUY,2019-02-26 01:00:00+00:00,2019-02-26 17:11:25+00:00,0.08,145.75,145.743,-56.0,0.0,0.0
trend-ea-v1-GBPJPY_HIST-1552485600:6,trend-ea-v1-GBPJPY_HIST-1552485600,GBPJPY_HIST,BREAKOUT,BUY,2019-03-13 15:00:00+00:00,2019-03-13 23:11:56+00:00,0.09,146.567,147.611,9396.0,0.0,0.0
trend-ea-v1-GBPJPY_HIST-1554267600:8,trend-ea-v1-GBPJPY_HIST-1554267600,GBPJPY_HIST,BREAKOUT,BUY,2019-04-03 06:00:00+00:00,2019-04-03 16:14:15+00:00,0.07,146.521,146.52,-7.0,0.0,0.0
trend-ea-v1-GBPJPY_HIST-1555048800:10,trend-ea-v1-GBPJPY_HIST-1555048800,GBPJPY_HIST,BREAKOUT,BUY,2019-04-12 07:00:00+00:00,2019-04-12 15:11:55+00:00,0.14,146.139,146.793,9156.0,0.0,0.0
trend-ea-v1-GBPJPY_HIST-1556197200:12,trend-ea-v1-GBPJPY_HIST-1556197200,GBPJPY_HIST,BREAKOUT,SELL,2019-04-25 14:00:00+00:00,2019-04-26 09:31:34+00:00,0.15,144.024,144.281,-4264.0,0.0,-409.0
trend-ea-v1-GBPJPY_HIST-1557309600:14,trend-ea-v1-GBPJPY_HIST-1557309600,GBPJPY_HIST,BREAKOUT,SELL,2019-05-08 11:00:00+00:00,2019-05-09 03:31:15+00:00,0.14,143.633,142.937,9362.0,0.0,-382.0
trend-ea-v1-GBPJPY_HIST-1558098000:16,trend-ea-v1-GBPJPY_HIST-1558098000,GBPJPY_HIST,BREAKOUT,SELL,2019-05-17 14:00:00+00:00,2019-05-17 20:16:43+00:00,0.14,139.873,140.151,-3892.0,0.0,0.0
trend-ea-v1-GBPJPY_HIST-1558602000:18,trend-ea-v1-GBPJPY_HIST-1558602000,GBPJPY_HIST,BREAKOUT,SELL,2019-05-23 10:00:00+00:00,2019-05-23 17:54:38+00:00,0.14,139.07,139.073,-42.0,0.0,0.0
trend-ea-v1-GBPJPY_HIST-1558645200:20,trend-ea-v1-GBPJPY_HIST-1558645200,GBPJPY_HIST,BREAKOUT,SELL,2019-05-23 22:00:00+00:00,2019-05-24 00:15:01+00:00,0.09,138.551,138.948,-3818.0,0.0,-245.0
trend-ea-v1-GBPJPY_HIST-1559124000:22,trend-ea-v1-GBPJPY_HIST-1559124000,GBPJPY_HIST,BREAKOUT,SELL,2019-05-29 11:00:00+00:00,2019-05-29 13:10:22+00:00,0.14,138.012,138.272,-3640.0,0.0,0.0
trend-ea-v1-GBPJPY_HIST-1559268000:24,trend-ea-v1-GBPJPY_HIST-1559268000,GBPJPY_HIST,BREAKOUT,SELL,2019-05-31 03:00:00+00:00,2019-05-31 12:35:44+00:00,0.11,137.831,136.906,10175.0,0.0,0.0
trend-ea-v1-GBPJPY_HIST-1560506400:26,trend-ea-v1-GBPJPY_HIST-1560506400,GBPJPY_HIST,BREAKOUT,SELL,2019-06-14 11:00:00+00:00,2019-06-14 18:54:38+00:00,0.21,137.053,136.582,9891.0,0.0,0.0
trend-ea-v1-GBPJPY_HIST-1560866400:28,trend-ea-v1-GBPJPY_HIST-1560866400,GBPJPY_HIST,BREAKOUT,SELL,2019-06-18 15:00:00+00:00,2019-06-18 16:40:33+00:00,0.13,135.471,135.771,-3900.0,0.0,0.0
trend-ea-v1-GBPJPY_HIST-1563210000:30,trend-ea-v1-GBPJPY_HIST-1563210000,GBPJPY_HIST,BREAKOUT,SELL,2019-07-15 18:00:00+00:00,2019-07-16 12:09:36+00:00,0.16,135.139,134.535,9228.0,0.0,-436.0
trend-ea-v1-GBPJPY_HIST-1564765200:32,trend-ea-v1-GBPJPY_HIST-1564765200,GBPJPY_HIST,BREAKOUT,SELL,2019-08-02 18:00:00+00:00,2019-08-02 21:39:55+00:00,0.06,129.116,129.707,-3546.0,0.0,0.0
trend-ea-v1-GBPJPY_HIST-1565355600:34,trend-ea-v1-GBPJPY_HIST-1565355600,GBPJPY_HIST,BREAKOUT,SELL,2019-08-09 14:00:00+00:00,2019-08-09 19:35:56+00:00,0.11,127.894,127.016,9658.0,0.0,0.0
trend-ea-v1-GBPJPY_HIST-1567198800:36,trend-ea-v1-GBPJPY_HIST-1567198800,GBPJPY_HIST,BREAKOUT,SELL,2019-08-30 22:00:00+00:00,2019-09-02 17:37:03+00:00,0.09,129.132,128.056,9439.0,0.0,-245.0
trend-ea-v1-GBPJPY_HIST-1574046000:38,trend-ea-v1-GBPJPY_HIST-1574046000,GBPJPY_HIST,BREAKOUT,BUY,2019-11-18 04:00:00+00:00,2019-11-18 12:00:22+00:00,0.14,140.625,141.318,9702.0,0.0,0.0
trend-ea-v1-GBPJPY_HIST-1574265600:40,trend-ea-v1-GBPJPY_HIST-1574265600,GBPJPY_HIST,PULLBACK,BUY,2019-11-20 17:00:00+00:00,2019-11-21 03:49:02+00:00,0.11,140.348,140.004,-3708.0,0.0,76.0
trend-ea-v1-GBPJPY_HIST-1574733600:42,trend-ea-v1-GBPJPY_HIST-1574733600,GBPJPY_HIST,BREAKOUT,BUY,2019-11-26 03:00:00+00:00,2019-11-26 09:09:10+00:00,0.15,140.635,140.378,-3855.0,0.0,0.0
